"STATE","YEAR","AGI","marriage_rate","elder_rate","tax","charity","add_med","edu","retire","child","population","growth_rate"
"DC",2017,18790508.9759994,0.167803057489414,0.175238642072777,1358059.13793153,517880.423268499,25720.9956075504,846.047312136654,1036.53483097682,5903.82105792005,696650,0.189136595750238
"DC",2018,20304980.6521528,0.170737978914888,0.176794948715751,377815.026742093,441440.318162338,29039.3892460215,830.889988857461,1153.66639524585,5948.09942573069,700020,0.217153380689292
"DC",2019,20694488.3418953,0.166787558134574,0.17402682368335,354582.139195858,485241.662186571,30777.499295985,863.914664846183,1223.49865597133,5671.47370966136,703110,0.243923083026953
"DC",2020,21554935.1506783,0.16332564686576,0.179523816260416,334649.317781204,622039.169083424,33388.4038790725,774.515356430461,1089.76893912601,4070.48860469393,706870,0.284032467089557
"DC",2021,24856637.1705259,0.164386727721843,0.179742008176001,332168.523162928,522759.029641614,40304.5302699814,685.558727086252,1154.9799500195,1495.22349661259,692270,0.33935691501481
"DE",2013,14655903.3911481,0.357021015283843,0.26610557135162,663268.733942867,261482.20097571,6021.60616812227,1798.10914756186,2066.36189956332,7199.75705058224,879360,0.0762693914751321
"DE",2014,15416812.6216457,0.355158506635423,0.266506814241187,674182.234211297,278531.852488565,6742.80448595183,1754.00660162675,2174.32430209765,7215.57994051777,887660,0.0844407943855458
"DE",2015,16122773.3030216,0.350753191677342,0.263031762159297,717005.039249901,284856.346954102,7252.77070724919,1721.13962760083,2320.29257410434,7552.97953571586,905480,0.0896301037351915
"DE",2016,16449630.7785507,0.351518609550562,0.27368987008427,759240.425847086,305699.01465941,7362.27946146419,1776.39909585674,2492.56305960323,7719.84426571278,911360,0.104240303571217
"DE",2017,17523293.8133922,0.350686850185854,0.281064483111566,816386.149361633,335155.990863546,8115.50035015892,1711.56476862576,2560.39432203846,7941.50634056995,928150,0.131083844580777
"DE",2018,18529134.0636679,0.349444515387562,0.289203166900779,226320.953858596,217928.904865279,8526.85332865109,1686.50867279615,2983.36006470012,8078.89003107309,939720,0.161166640682292
"DE",2019,19420493.7396548,0.340975097324353,0.288543533337453,224122.546942265,226968.387958557,9741.73691528147,1765.24111722178,3208.47282127335,8026.33625821335,970980,0.193754907636139
"DE",2020,20391526.3433288,0.333202631037221,0.295413329673669,206609.085096997,202267.044415908,10665.6954799878,1811.54233283993,3124.76482409105,5775.37339358709,1020130,0.233900166446454
"DE",2021,23162600.9852143,0.336299164418052,0.306166053104092,192848.129510186,264577.314120633,13153.9052472139,1732.62142018838,3113.98264637731,2179.13789609895,996910,0.301985578552479
"FL",2013,287504990.965902,0.33163683983137,0.201485603225124,7655351.48715393,5769049.8848719,174700.77340246,30717.8945211471,50568.2946284862,130457.161831848,18632550,0.562034785923495
"FL",2014,313904303.36458,0.331331864371796,0.201340599046262,7818820.24924912,6313354.38914642,171498.804437846,29485.8971611662,54857.4472205879,133798.953162754,18797860,0.608881295918393
